angle (TWA),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
125,0.0,1.8,2.7,3.6,4.4,5.1,5.7,6.2,6.6,6.8,7.1,7.3,7.5,7.8,8.0,8.2,8.5,8.7,9.0,9.2
126,0.0,1.8,2.7,3.5,4.4,5.1,5.7,6.2,6.5,6.8,7.0,7.3,7.5,7.7,8.0,8.2,8.4,8.7,8.9,9.2
127,0.0,1.8,2.6,3.5,4.3,5.1,5.7,6.1,6.5,6.8,7.0,7.2,7.5,7.7,7.9,8.2,8.4,8.6,8.9,9.1
128,0.0,1.8,2.6,3.5,4.3,5.0,5.6,6.1,6.5,6.8,7.0,7.2,7.4,7.7,7.9,8.1,8.4,8.6,8.9,9.1
129,0.0,1.7,2.6,3.4,4.2,5.0,5.6,6.1,6.4,6.7,7.0,7.2,7.4,7.6,7.9,8.1,8.3,8.6,8.8,9.1
130,0.0,1.7,2.6,3.4,4.2,4.9,5.5,6.0,6.4,6.7,6.9,7.2,7.4,7.6,7.8,8.1,8.3,8.5,8.8,9.0
131,0.0,1.7,2.5,3.4,4.2,4.9,5.5,6.0,6.4,6.7,6.9,7.1,7.3,7.6,7.8,8.0,8.3,8.5,8.7,9.0
132,0.0,1.7,2.5,3.3,4.1,4.8,5.5,5.9,6.3,6.6,6.9,7.1,7.3,7.5,7.8,8.0,8.2,8.5,8.7,8.9
133,0.0,1.7,2.5,3.3,4.1,4.8,5.4,5.9,6.3,6.6,6.8,7.1,7.3,7.5,7.7,8.0,8.2,8.4,8.7,8.9
134,0.0,1.7,2.5,3.3,4.0,4.8,5.4,5.9,6.3,6.6,6.8,7.0,7.2,7.5,7.7,7.9,8.2,8.4,8.6,8.8
135,0.0,1.6,2.4,3.2,4.0,4.7,5.3,5.8,6.2,6.5,6.8,7.0,7.2,7.4,7.7,7.9,8.1,8.3,8.6,8.8
136,0.0,1.6,2.4,3.2,4.0,4.7,5.3,5.8,6.2,6.5,6.7,7.0,7.2,7.4,7.6,7.9,8.1,8.3,8.5,8.8
137,0.0,1.6,2.4,3.2,3.9,4.6,5.2,5.7,6.1,6.4,6.7,6.9,7.1,7.4,7.6,7.8,8.0,8.3,8.5,8.7
138,0.0,1.6,2.4,3.1,3.9,4.6,5.2,5.7,6.1,6.4,6.7,6.9,7.1,7.3,7.6,7.8,8.0,8.2,8.5,8.7
139,0.0,1.6,2.3,3.1,3.9,4.5,5.1,5.6,6.0,6.4,6.6,6.9,7.1,7.3,7.5,7.7,8.0,8.2,8.4,8.6
140,0.0,1.6,2.3,3.1,3.8,4.5,5.1,5.6,6.0,6.3,6.6,6.8,7.1,7.3,7.5,7.7,7.9,8.2,8.4,8.6
141,0.0,1.5,2.3,3.1,3.8,4.5,5.0,5.5,5.9,6.3,6.5,6.8,7.0,7.2,7.5,7.7,7.9,8.1,8.3,8.6
142,0.0,1.5,2.3,3.0,3.7,4.4,5.0,5.5,5.9,6.2,6.5,6.8,7.0,7.2,7.4,7.6,7.9,8.1,8.3,8.5
143,0.0,1.5,2.2,3.0,3.7,4.4,4.9,5.4,5.8,6.2,6.5,6.7,7.0,7.2,7.4,7.6,7.8,8.1,8.3,8.5
144,0.0,1.5,2.2,3.0,3.7,4.3,4.9,5.4,5.8,6.2,6.4,6.7,6.9,7.2,7.4,7.6,7.8,8.0,8.2,8.5
145,0.0,1.5,2.2,2.9,3.6,4.3,4.9,5.3,5.8,6.1,6.4,6.7,6.9,7.1,7.3,7.6,7.8,8.0,8.2,8.4
146,0.0,1.5,2.2,2.9,3.6,4.2,4.8,5.3,5.7,6.1,6.4,6.6,6.9,7.1,7.3,7.5,7.7,8.0,8.2,8.4
147,0.0,1.4,2.2,2.9,3.6,4.2,4.8,5.3,5.7,6.0,6.3,6.6,6.8,7.1,7.3,7.5,7.7,7.9,8.1,8.4
148,0.0,1.4,2.1,2.8,3.5,4.2,4.7,5.2,5.6,6.0,6.3,6.6,6.8,7.1,7.3,7.5,7.7,7.9,8.1,8.3
149,0.0,1.4,2.1,2.8,3.5,4.1,4.7,5.2,5.6,6.0,6.2,6.5,6.8,7.0,7.2,7.4,7.7,7.9,8.1,8.3
150,0.0,1.4,2.1,2.8,3.5,4.1,4.6,5.1,5.6,5.9,6.2,6.5,6.8,7.0,7.2,7.4,7.6,7.8,8.1,8.3
151,0.0,1.4,2.1,2.8,3.4,4.1,4.6,5.1,5.5,5.9,6.2,6.5,6.7,7.0,7.2,7.4,7.6,7.8,8.0,8.2
152,0.0,1.4,2.1,2.7,3.4,4.0,4.6,5.0,5.5,5.8,6.1,6.5,6.7,6.9,7.2,7.4,7.6,7.8,8.0,8.2
153,0.0,1.4,2.0,2.7,3.4,4.0,4.5,5.0,5.4,5.8,6.1,6.4,6.7,6.9,7.1,7.3,7.6,7.8,8.0,8.2
154,0.0,1.4,2.0,2.7,3.3,4.0,4.5,5.0,5.4,5.8,6.1,6.4,6.6,6.9,7.1,7.3,7.5,7.7,7.9,8.1
155,0.0,1.3,2.0,2.7,3.3,3.9,4.5,4.9,5.4,5.7,6.0,6.4,6.6,6.9,7.1,7.3,7.5,7.7,7.9,8.1
156,0.0,1.3,2.0,2.7,3.3,3.9,4.4,4.9,5.3,5.7,6.0,6.3,6.6,6.8,7.1,7.3,7.5,7.7,7.9,8.1
157,0.0,1.3,2.0,2.6,3.3,3.9,4.4,4.9,5.3,5.7,6.0,6.3,6.6,6.8,7.0,7.3,7.5,7.7,7.9,8.1
158,0.0,1.3,2.0,2.6,3.2,3.8,4.4,4.8,5.3,5.6,6.0,6.3,6.5,6.8,7.0,7.2,7.4,7.6,7.8,8.0
159,0.0,1.3,1.9,2.6,3.2,3.8,4.3,4.8,5.2,5.6,5.9,6.2,6.5,6.8,7.0,7.2,7.4,7.6,7.8,8.0
160,0.0,1.3,1.9,2.6,3.2,3.8,4.3,4.8,5.2,5.6,5.9,6.2,6.5,6.7,7.0,7.2,7.4,7.6,7.8,8.0
161,0.0,1.3,1.9,2.6,3.2,3.7,4.3,4.7,5.2,5.5,5.9,6.2,6.5,6.7,7.0,7.2,7.4,7.6,7.8,8.0
162,0.0,1.3,1.9,2.5,3.1,3.7,4.2,4.7,5.1,5.5,5.8,6.2,6.4,6.7,6.9,7.2,7.4,7.5,7.7,7.9
163,0.0,1.3,1.9,2.5,3.1,3.7,4.2,4.7,5.1,5.5,5.8,6.1,6.4,6.7,6.9,7.1,7.3,7.5,7.7,7.9
164,0.0,1.3,1.9,2.5,3.1,3.7,4.2,4.7,5.1,5.5,5.8,6.1,6.4,6.7,6.9,7.1,7.3,7.5,7.7,7.9
165,0.0,1.2,1.9,2.5,3.1,3.6,4.2,4.6,5.1,5.4,5.8,6.1,6.4,6.6,6.9,7.1,7.3,7.5,7.7,7.9
166,0.0,1.2,1.8,2.5,3.0,3.6,4.1,4.6,5.0,5.4,5.7,6.1,6.3,6.6,6.9,7.1,7.3,7.5,7.6,7.8
